BookID,MemberID,Checkout Date,Return Date
1,1000,3/1/2019,13/1/2019
5,1001,7/2/2019,10/2/2019
3,1002,1/4/2019,3/5/2019
7,1003,8/5/2019,30/5/2019
3,3000,30/6/2019,1/7/2019
13,2777,11/7/2019,23/7/2019
1,2345,13/7/2019,3/8/2019
5,3435,3/8/2019,12/8/2019
7,3456,10/8/2019,3/8/2019
8,4680,30/8/2019,13/9/2019
3,4591,3/1/2020,3/2/2020
24,2457,13/1/2020,6/2/2020
5,1567,3/2/2020,3/2/2020
7,3111,11/2/2020,19/2/2020
4,2489,16/2/2020,22/2/2020
23,1373,18/2/2020,28/2/2020
4,3583,20/4/2020,29/4/2020
6,6482,3/5/2020,13/5/2020
11,9903,6/6/2020,10/6/2020
20,6281,10/6/2020,30/6/2020
12,6381,14/7/2020,19/7/2020
12,9302,14/11/2020,19/11/2020
3,2346,16/12/2020,31/12/2020
8,4231,3/1/2021,18/1/2021
17,9462,3/1/2021,19/1/2021
2,3413,7/1/2021,''
3,0926,10/1/2021,23/1/2021
5,4132,22/1/2021,25/1/2021
9,1723,1/4/2021,3/4/2021
10,7182,5/4/2021,10/4/2021
21,4272,9/4/2021,15/4/2021
23,9812,12/4/2021,30/4/2021
12,4172,5/5/2021,10/5/2021
9,7582,8/5/2021,13/5/2021
5,8172,12/7/2021,19/7/2021
1,5162,19/7/2021,''
3,9163,23/7/2021,25/7/2021
4,5173,10/8/2021,15/8/2021
7,8163,11/8/2021,16/8/2021
18,5162,21/8/2021,25/8/2021
21,6173,29/11/2021,30/11/2021
22,7153,25/12/2021,30/12/2021
3,8163,3/1/2022,13/1/2022
6,6111,3/1/2022,19/1/2022
5,1834,16/1/2022,23/1/2022
9,5193,14/3/2022,15/3/2022
8,7767,20/3/2022,23/3/2022
12,8135,22/3/2022,23/3/2022
22,9120,3/6/2022,12/6/2022
10,2612,7/6/2022,13/6/2022
19,3645,12/6/2022,13/6/2022
14,6123,16/6/2022,19/6/2022
13,2222,12/7/2022,19/7/2022
23,5987,23/7/2022,''
3,1333,10/8/2022,''
6,6729,11/8/2022,''
17,4155,10/9/2022,''
3,3440,13/9/2022,''
4,1129,15/9/2022,''
19,7702,17/9/2022,''
13,6520,19/9/2022,''
22,9915,22/9/2022,''
